e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,E_file,fileinfo,class,CompressionRatio,CodeDensity
144,3,4,65535,184,248,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,66298,4096,69632,0,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,1,Armadillov1xxv2xx,6.030864109591595,0.0131269437212195,6.089724790530797,0,0,9.390024038461539e-06,0.6153846153846154
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,14446,8192,16384,1,1,1,4,0,0,0,4,0,1,69395,2,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETexecutableMicrosoft,4.618147931231405,0.0,3.954612477943903,0,0,3.769601930036188e-05,0.3088057901085645
144,3,4,65535,184,200,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,6476,4096,36864,1,1,1,4,0,12,1000,4,0,1,91241,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,3,0,NoPacker,5.628196527347495,0.0,5.491776623610539,1,0,1.7796127562642368e-05,0.5831435079726651
144,3,4,65535,184,272,8,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,502721,4096,540672,1,1,1,4,0,0,0,4,0,1,812222,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,3,5,1,Armadillov1xxv2xx,5.861511445738931,4.87382744817356,5.864199725982959,1,0,1.2705705369939318e-06,0.681757656458056
144,3,4,65535,184,128,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,8,0,156382,8192,163840,0,1,1,4,0,0,0,4,0,1,212764,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETDLLMicrosoft,5.955344406735143,0.0,5.6781466327501855,1,0,6.103515625e-06,0.925
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,47566,4096,237568,0,1,1,6,1,6,1,5,1,1,333843,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,3,0,NoPacker,6.339107614565443,5.202294434097911,6.4599234280252285,1,0,3.4756012790212706e-06,0.8061170582510775
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,41958,4096,45056,1,1,1,6,2,6,2,6,1,1,488475,2,1,0,0,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.242944510496469,1.089469521295902,5.794842002289455,1,0,2.139238773274918e-06,0.08543263964950712
144,3,4,65535,184,248,5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,8,0,25616,4096,36864,1,1,1,4,0,0,0,4,0,1,81091,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.496899506754393,0.4607179599808954,6.72830615309447,1,0,2.2214323795983652e-05,0.6596765594455305
144,3,4,65535,184,224,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,25599,8192,49152,0,1,1,5,2,5,2,4,0,1,2937970,2,0,0,0,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.509003115850452,0.4988229892862215,7.997965726306521,1,0,3.442397671286823e-07,0.01180880097158232
144,3,4,65535,184,200,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,22898,8192,40960,0,1,1,5,2,5,2,4,0,1,4058253,2,0,0,0,0,1,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.583587434397277,0.5134905185915475,7.998835595872227,1,0,2.4679268230081855e-07,0.007707829053619165
144,3,4,65535,184,128,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8,0,14606,8192,16384,1,1,1,4,0,0,0,4,0,1,66530,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,2,2,1,NETexecutableMicrosoft,5.411622869475501,0.0,5.764449137694043,0,0,5.830223880597015e-05,0.3880597014925373
144,3,4,65535,184,248,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,60237,4096,106496,1,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.629321119548478,2.8270874144163973,6.160023201432731,1,0,5.4253472222222224e-06,0.5555555555555556
144,3,4,65535,184,184,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5,10,5920,4096,8192,1,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,4096,4096,1,1,3,0,NoPacker,4.918694644085898,3.0710373088286507,4.769481266768751,0,0,0.0001220703125,0.3125
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,13514,4096,16384,1,1,1,6,2,6,2,6,2,1,67142,3,1,0,1,0,0,0,0,1,0,0,0,262144,4096,1048576,4096,1,1,4,0,NoPacker,5.79950764188657,0.2990509103346658,5.846005817309421,1,0,4.650297619047619e-05,0.5238095238095238
144,3,4,65535,184,240,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0,432841,4096,794624,1,1,1,5,0,0,0,5,0,1,4067946,3,1,0,1,0,0,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,5,0,NoPacker,5.896314054440628,2.588990105133913,3.760440707503186,0,0,2.4852080417355897e-07,0.19557195571955718
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,9506,4096,12288,1,1,1,6,2,6,2,6,2,1,43879,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.163738977482652,1.4056432578580629,5.579800684491977,1,0,6.975446428571428e-05,0.5
144,3,4,65535,184,192,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,4096,4096,0,1,1,5,0,5,0,4,0,1,250542,2,0,0,0,0,1,0,0,0,0,0,0,262144,4096,10240,4096,1,1,2,0,NoPacker,0.3347022949985149,0.0,3.4437182211366117,1,0,4.547769773702976e-06,0.0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,28939,4096,36864,1,1,1,6,2,6,2,6,2,1,144077,2,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.024220442567289,1.7778773015992129,6.033295851260645,1,0,7.342575187969924e-06,0.21428571428571427
144,3,4,65535,184,264,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,30196,4096,65536,1,1,1,4,0,0,0,4,0,1,119602,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.477243767879374,3.742737113053447,6.045276442462991,1,0,9.715529302036375e-06,0.5969221203171149
144,3,4,65535,184,192,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,4096,4096,1,1,1,5,1,0,0,5,1,1,112922,2,0,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,1,0,NoPacker,0.0,0.0,4.983024756439078,1,0,1.9485580670303975e-05,0.0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10807,4096,40960,1,1,1,6,2,6,2,6,2,1,87700,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.511193926233587,2.6106340090671414,6.1269641475497485,1,0,2.1945224719101123e-05,0.7303370786516854
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,22268,4096,28672,0,1,1,4,0,0,0,5,1,1,91755,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,4096,4096,1,1,3,0,NoPacker,6.721893120417551,1.1707429788787789,6.895963823808795,1,0,3.0222437137330755e-05,0.6344294003868471
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,18161,4096,114688,1,1,1,5,0,0,0,5,0,1,169105,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.56516433096092,4.207437151477564,6.6621873839880985,0,0,5.972288580984233e-06,0.6604873387482083
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,25240,16384,8192,1,1,1,4,0,0,0,4,0,1,91993,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.2555925072393,0.0,5.696597383801666,0,0,3.4378437843784377e-05,0.7040704070407041
144,3,4,65535,184,184,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,4096,4096,1,1,1,6,1,6,1,5,0,1,14528,2,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,1,0,NoPacker,0.0,0.0,3.673940138277639,1,0,0.0003255208333333333,0.0
144,3,4,65535,184,248,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,11856,4096,45056,1,1,1,5,1,10,0,5,1,1,118142,2,1,0,1,0,0,0,0,1,0,0,0,1048576,8192,1048576,4096,1,1,3,0,NoPacker,6.312861931278094,2.227464154853441,6.226295413640636,1,0,1.8315018315018315e-05,0.7126739926739927
144,3,4,65535,184,224,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,48807,4096,204800,0,1,1,6,1,6,1,6,1,1,232654,2,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.389808383805551,4.771153639968166,6.434237261755492,1,0,4.449031890660592e-06,0.8861047835990888
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,5392,4096,8192,1,1,1,4,0,0,0,5,1,1,69166,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,5.931661359153188,0.1473650753047697,6.3776013247154735,1,0,6.808278867102397e-05,0.2440087145969499
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,14425,4096,16384,1,1,1,6,2,6,2,6,2,1,32653,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.287605717409518,5.259524522632891,5.992747495730382,1,0,5.0080128205128203e-05,0.5897435897435898
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,51592,4096,57344,1,1,1,6,2,6,2,6,2,1,70149,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,5.119310684872904,3.548546211754912,4.954553242375066,1,0,1.4256386861313868e-05,0.708029197080292
144,3,4,65535,184,232,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,10,13689,4096,16384,1,1,1,6,2,6,2,6,2,1,81109,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.1302733846050605,1.889508518825614,5.4391264943613145,1,0,4.650297619047619e-05,0.5238095238095238
144,3,4,65535,184,296,9,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,794386,4096,1540096,0,1,1,5,0,9,0,5,0,1,2036904,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,5,4,0,NoPacker,6.523461894623376,5.714571826582402,6.630389016722848,1,0,4.963252081587923e-07,0.7600684531727092
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,10,10,8816,4096,12288,1,1,1,6,2,6,2,5,1,1,150537,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.114511787894703,5.798596943683472,6.649492069782774,1,0,1.076287239538488e-05,0.07714826933011883
144,3,4,65535,184,248,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,5697,4096,8192,1,1,1,4,0,0,0,5,1,1,37344,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,5.90953939480363,0.1473650753047697,6.363294729980951,1,0,6.596306068601583e-05,0.27018469656992083
144,3,4,65535,184,256,7,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,158122,4096,225280,1,1,1,4,0,0,0,4,0,1,361550,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,3,4,0,NoPacker,6.585519064405039,3.3601176438582767,6.11823812300926,1,0,2.936754064467625e-06,0.6495630109952072
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,91774,4096,106496,1,1,1,6,2,6,2,6,2,1,169406,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.5113100266496,3.355945388173065,6.539503530633654,1,0,8.642146017699115e-06,0.8628318584070797
144,3,4,65535,184,128,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,8,0,1106366,8192,1114112,0,1,1,4,0,0,0,4,0,1,1286365,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.824800339221875,0.0,5.613086204669008,1,0,7.978451797385621e-07,0.8790849673202614
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,7148,4096,12288,1,1,1,6,2,6,2,6,2,1,112861,2,1,0,1,0,0,0,0,1,0,0,0,262144,49152,1048576,4096,1,1,4,0,NoPacker,6.06614566861341,0.2990509103346658,6.215910681277263,1,0,1.713267543859649e-05,0.07894736842105263
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,4757,4096,24576,1,1,1,5,1,0,0,5,1,1,12576743,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.417044289102657,2.4173155438246896,1.5795611281284794,0,0,7.975636663172274e-08,0.0014292340900404715
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,57438,8192,65536,1,1,1,4,0,0,0,4,0,1,59821,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETDLLMicrosoft,5.811795943497162,0.0,5.944411003606763,0,0,1.71609006040637e-05,0.8522789676002197
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,9885,4096,28672,1,1,1,6,2,6,2,6,2,1,77484,3,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.118883509889562,0.1005146755335677,6.21785034743866,1,0,2.604166666666667e-05,0.6266666666666667
144,3,4,65535,184,240,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,9995,4096,16384,1,1,1,6,2,6,2,6,2,1,69430,2,1,1,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,2,4,0,NoPacker,5.937282395725076,0.4202962853995592,5.576421120829001,1,0,5.0080128205128203e-05,0.48717948717948717
144,3,4,65535,184,128,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,56,4600,4096,192512,1,1,1,4,0,1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,327680,4096,1048576,4096,1,0,5,1,VideoLanClient,6.555145529546431,4.123265711211885,7.993373677582997,1,0,3.782018950637996e-08,0.007029109140897755
144,3,4,65535,184,192,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,4096,4096,1,1,1,4,0,0,0,4,0,1,72525,2,0,0,0,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,1,0,NoPacker,0.0,0.0,5.548933672959481,1,0,6.271951831409934e-05,0.0
144,3,4,65535,184,224,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,6287,4096,8192,1,1,1,4,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,4,1,Armadillov171,4.361630444038636,2.7712951691934977,2.697976067852435,1,0,4.862867146469558e-05,0.1991830383193931
144,3,4,65535,184,240,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,147446,4096,184320,1,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,1,Armadillov1xxv2xx,6.344431537359557,1.8000346197837604,5.942622934551854,1,0,4.521122685185185e-06,0.8148148148148148
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,186091,4096,233472,0,1,1,6,1,6,1,6,1,1,282950,2,1,0,1,0,0,0,0,0,0,0,0,262144,4096,10240,4096,1,2,3,0,NoPacker,6.368075630314277,2.4765593611762746,6.239409355425987,1,0,3.7560096153846156e-06,0.8615384615384616
144,3,4,65535,184,232,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,30917,4096,45056,0,1,1,6,1,6,1,6,1,1,60175,3,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.325823656885087,4.0067087202796925,6.213353757894654,1,0,2.1001344086021507e-05,0.7956989247311828
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,648996,4096,712704,0,1,1,4,0,0,0,4,0,1,1929422,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.639479940491898,2.493797273692791,6.380886396824882,1,0,5.280745556780688e-07,0.374197854749925
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,145019,4096,446464,1,1,1,6,2,6,2,6,1,1,672544,2,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.318133177954113,1.309357011581338,6.378125023237137,1,0,1.489797864225782e-06,0.6521739130434783
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,15283,4096,20480,1,1,1,6,2,6,2,6,2,1,127902,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.068931699985644,0.335734743487675,6.264424622984579,1,0,1.52587890625e-05,0.1953125
144,3,4,65535,184,248,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,431183,4096,901120,0,1,1,5,0,9,0,5,0,1,1077570,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,6.425165698485058,5.502764629103978,6.428030106103181,1,0,9.43994683421943e-07,0.8443692605123247
144,3,4,65535,184,200,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,22898,8192,40960,0,1,1,5,2,5,2,4,0,1,13184036,2,0,0,0,0,1,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.583587434397277,0.5134905185915475,7.999739964802473,1,0,7.615700772414836e-08,0.0023785356652406015
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,70613,4096,225280,0,1,1,6,1,6,1,6,1,1,285210,3,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.561529162197076,3.290157448127171,6.568697627999721,1,0,4.129228329809725e-06,0.904862579281184
144,3,4,65535,184,184,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,4096,4096,1,1,1,4,0,0,0,4,0,1,29408,2,0,0,0,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,1,0,NoPacker,0.0,0.0,5.713314675342297,0,0,5.135579293344289e-05,0.0
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,108776,16384,8192,1,1,1,4,0,0,0,4,0,1,291800,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.914972021396975,0.0,5.944965827950952,0,0,3.987495215005742e-06,0.9656756411892305
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,20909,4096,61440,1,1,1,5,0,0,0,5,0,1,121388,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.57367452896028,2.4372016440787334,6.369040489860201,0,0,1.2056327160493826e-05,0.6851851851851852
144,3,4,65535,184,240,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,155958,4096,192512,1,1,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,1,Armadillov1xxv2xx,6.336705225957568,1.8030460896698757,5.959021171528724,1,0,4.359654017857143e-06,0.8214285714285714
144,3,4,65535,184,248,6,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,91847,4096,4096,1,1,1,4,0,0,0,4,0,1,249949,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,2,4,1,MicrosoftVisualCV80Debug,5.510872653635851,1.7009266969620775,5.5567537471018,0,0,4.036946130990828e-06,0.727554579511691
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,69520,4096,159744,1,1,1,4,0,0,0,4,0,1,276300,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.730993980234038,3.6880859582978207,6.648873833327671,0,0,4.521122685185185e-06,0.7037037037037037
